Date,Time,lux,temp,humid,presentase_lux,lux_score,lux_category,temp_score,temp_category,humid_score,humid_category,quality_score,quality_category
13/07/2024,14:20:03,27389.17,29.8,40.8,27.38917,2,Kurang Baik,2,Kurang Optimal (Terlalu Panas),2,Kurang Optimal (Kering),2,Cukup
13/07/2024,14:15:03,10580.83,28.6,41.4,10.58083,1,Buruk,2,Kurang Optimal (Terlalu Panas),2,Kurang Optimal (Kering),1.8,Kurang
13/07/2024,14:10:03,11365.83,29.1,39.4,11.36583,1,Buruk,2,Kurang Optimal (Terlalu Panas),1,Buruk (Sangat Kering),1.3,Kurang
13/07/2024,14:05:05,10763.33,30.3,38.7,10.76333,1,Buruk,1,Berpotensi Merusak,1,Buruk (Sangat Kering),1,Kurang
13/07/2024,14:00:03,12728.33,30.7,37.4,12.72833,1,Buruk,1,Berpotensi Merusak,1,Buruk (Sangat Kering),1,Kurang
13/07/2024,13:55:07,11625.83,30.3,38.3,11.62583,1,Buruk,1,Berpotensi Merusak,1,Buruk (Sangat Kering),1,Kurang
13/07/2024,13:50:05,9704.17,30.6,37.4,9.70417,1,Buruk,1,Berpotensi Merusak,1,Buruk (Sangat Kering),1,Kurang
13/07/2024,13:45:03,10068.33,31.7,35.6,10.06833,1,Buruk,1,Berpotensi Merusak,1,Buruk (Sangat Kering),1,Kurang
13/07/2024,13:40:03,12110,32.4,33.5,12.11,1,Buruk,1,Berpotensi Merusak,1,Buruk (Sangat Kering),1,Kurang
13/07/2024,13:35:04,13085.83,33.8,30.8,13.08583,1,Buruk,1,Berpotensi Merusak,1,Buruk (Sangat Kering),1,Kurang
13/07/2024,13:30:03,14267.5,35.2,29.9,14.2675,1,Buruk,1,Berpotensi Merusak,1,Buruk (Sangat Kering),1,Kurang
13/07/2024,13:25:03,33828.33,36.4,28.1,33.82833,2,Kurang Baik,1,Berpotensi Merusak,1,Buruk (Sangat Kering),1.2,Kurang
13/07/2024,13:20:03,46647.5,36.5,27.7,46.6475,2,Kurang Baik,1,Berpotensi Merusak,1,Buruk (Sangat Kering),1.2,Kurang
13/07/2024,13:15:04,46255,37.2,26.8,46.255,2,Kurang Baik,1,Berpotensi Merusak,1,Buruk (Sangat Kering),1.2,Kurang
13/07/2024,13:10:04,45944.16,37.4,27.1,45.94416,2,Kurang Baik,1,Berpotensi Merusak,1,Buruk (Sangat Kering),1.2,Kurang
